LocationZip,Latitude,Longitude,geopoint
56557,47.330624,-95.87672,47.330624
,,,
58048,47.198818,-97.21831,47.198818
,,,
58368,48.273263,-100.00991,48.273263
,,,
39183,32.386653,-90.84485,32.386653
,,,
41517,37.184477,-82.61109,37.184477
,,,
55772,48.081686,-93.083438,48.081686
,,,
54915,44.244753,-88.37783,44.244753
,,,
28520,34.984608,-76.1988,34.984608
,,,
30055,33.504952,-83.74735,33.504952
,,,
30320,33.656824,-84.423648,33.656824
,,,
30553,34.450501,-83.09448,34.450501
,,,
32148,29.640791,-81.88648,29.640791
,,,
13562,44.465307,-75.230195,44.465307
,,,
15108,40.500665,-80.18464,40.500665
,,,
32241,30.34494,-81.683107,30.34494
,,,
32792,28.607077,-81.30606,28.607077
,,,
33179,25.95872,-80.17941,25.95872
,,,
33196,25.650232,-80.45925,25.650232
,,,
22842,38.772409,-78.69461,38.772409
,,,
23607,36.987151,-76.4195,36.987151
,,,
24651,37.113004,-81.50326,37.113004
,,,
24852,37.417857,-81.44874,37.417857
,,,
25511,38.011587,-82.38072,38.011587
,,,
1982,42.616643,-70.86513,42.616643
,,,
2103,42.338947,-70.919635,42.338947
,,,
2184,42.209555,-70.99968,42.209555
,,,
10702,41.119008,-73.732996,41.119008
,,,
11729,40.760698,-73.33007,40.760698
,,,
1373,42.472734,-72.62452,42.472734
,,,
93516,35.030694,-117.67264,35.030694
,,,
53962,43.685137,-90.26578,43.685137
,,,
54703,44.82961,-91.50521,44.82961
,,,
14305,43.115355,-79.03769,43.115355
,,,
15689,40.219344,-79.49244,40.219344
,,,
17331,39.795301,-76.97727,39.795301
,,,
30360,33.934536,-84.27215,33.934536
,,,
30477,32.872098,-82.4023,32.872098
,,,
32303,30.486061,-84.31528,30.486061
,,,
33406,26.659294,-80.09118,26.659294
,,,
20778,38.832265,-76.55604,38.832265
,,,
21234,39.385006,-76.54177,39.385006
,,,
22183,38.831813,-77.288755,38.831813
,,,
26294,38.52061,-80.03629,38.52061
,,,
28972,35.299726,-82.449228,35.299726
,,,
29206,34.037557,-80.96024,34.037557
,,,
30036,33.891251,-84.07456,33.891251
,,,
18761,41.272248,-75.880146,41.272248
,,,
35570,34.149717,-88.00384,34.149717
,,,
28144,35.679639,-80.46645,35.679639
,,,
28320,34.552642,-78.78102,34.552642
,,,
11691,40.60002,-73.75962,40.60002
,,,
12981,44.617642,-73.81196,44.617642
,,,
5069,44.168111,-72.14245,44.168111
,,,
6420,41.485469,-72.25445,41.485469
,,,
8022,40.079952,-74.70684,40.079952
,,,
42450,37.396445,-87.76428,37.396445
,,,
43098,40.095148,-82.482659,40.095148
,,,
43440,41.533186,-82.75881,41.533186
,,,
44848,40.920617,-82.281695,40.920617
,,,
45271,39.166759,-84.53822,39.166759
,,,
